invoice_uid,invoice_id,so_id,customer_id,branch_id,invoice_date,due_date,total_order_value,total_gst_amount,grand_total,payment_status,invoice_id_ambiguous
INVUID-000001,INV-325361,SO-990591,C0070,AHM001,2022-05-28,2022-06-27,1345720,374439.6,1720159.6,Unpaid,False
INVUID-000002,INV-568476,SO-431510,C0031,KOL001,2022-05-08,2022-06-07,2194850,609423.0000000001,2804273.0,Unpaid,False
INVUID-000003,INV-786913,SO-495859,C0013,AHM001,2023-10-02,2023-11-01,2620800,733824.0000000001,3354624.0,Paid,False
INVUID-000004,INV-697615,SO-745068,C0382,HYD001,2021-10-09,2021-11-08,1094950,292961.0,1387911.0,Paid,False
INVUID-000005,INV-747829,SO-175713,C0472,CHN001,2024-11-04,2024-12-19,1250,225.0,1475.0,Paid,False
INVUID-000006,INV-154762,SO-299557,C0288,DEL001,2022-02-26,2022-03-28,826600,223998.00000000003,1050598.0,Paid,False
INVUID-000007,INV-159498,SO-508292,C0463,AHM001,2019-10-18,2019-11-02,3118660,870548.8,3989208.8,Paid,False
INVUID-000008,INV-324708,SO-527363,C0364,KOL001,2024-05-30,2024-06-29,2635500,737940.0000000001,3373440.0,Paid,False
INVUID-000009,INV-705737,SO-720172,C0015,PUN001,2021-01-16,2021-01-31,1411460,360182.80000000005,1771642.8,Paid,False
INVUID-000010,INV-156642,SO-494369,C0100,KOL001,2022-02-21,2022-03-23,3841750,1065370.0,4907120.0,Unpaid,False
INVUID-000011,INV-685510,SO-485921,C0489,CHN001,2024-01-24,2024-02-23,2629250,722300.0000000001,3351550.0,Unpaid,False
INVUID-000012,INV-801362,SO-889434,C0242,CHN001,2023-11-05,2023-12-05,1293500,345095.00000000006,1638595.0,Paid,False
INVUID-000013,INV-434941,SO-835154,C0021,HYD001,2021-10-12,2021-10-27,2523030,680905.4000000001,3203935.4,Unpaid,False
INVUID-000014,INV-662057,SO-802509,C0325,KOL001,2024-10-11,2024-11-10,979280,269720.4,1249000.4,Paid,False
INVUID-000015,INV-775723,SO-627758,C0285,PUN001,2021-01-10,2021-01-25,87400,21332.0,108732.0,Paid,False
INVUID-000016,INV-756381,SO-679314,C0047,PUN001,2020-02-20,2020-04-20,207320,56247.600000000006,263567.6,Paid,False
INVUID-000017,INV-475370,SO-344627,C0493,CHN001,2019-08-04,2019-09-03,2386600,658828.0000000001,3045428.0,Paid,False
INVUID-000018,INV-963160,SO-201505,C0053,DEL001,2024-06-30,2024-08-29,860700,235836.00000000003,1096536.0,Partially Paid,False
INVUID-000019,INV-576405,SO-256526,C0096,CHN001,2021-10-15,2021-10-30,1252800,327774.00000000006,1580574.0,Partially Paid,False
INVUID-000020,INV-788628,SO-635095,C0365,KOL001,2021-12-27,2022-02-25,1326890,368645.20000000007,1695535.2,Unpaid,False
INVUID-000021,INV-114587,SO-532392,C0485,PUN001,2019-10-02,2019-12-01,1915080,525794.4,2440874.4,Paid,False
INVUID-000022,INV-803272,SO-142238,C0246,DEL001,2022-12-18,2023-01-17,1154900,312662.00000000006,1467562.0,Paid,False
INVUID-000023,INV-620681,SO-875606,C0012,CHN001,2021-11-04,2021-12-04,7350,2058.0,9408.0,Paid,False
INVUID-000024,INV-247904,SO-136658,C0291,HYD001,2022-05-20,2022-06-19,122900,33162.0,156062.0,Partially Paid,False
INVUID-000025,INV-759813,SO-176390,C0375,PUN001,2020-09-06,2020-11-05,459050,128409.0,587459.0,Paid,False
INVUID-000026,INV-397977,SO-209359,C0495,AHM001,2019-02-06,2019-03-23,154130,40173.4,194303.4,Paid,False
INVUID-000027,INV-164998,SO-495436,C0038,DEL001,2019-11-14,2019-11-29,408000,73440.0,481440.0,Paid,False
INVUID-000028,INV-165894,SO-587867,C0365,KOL001,2019-12-02,2020-01-31,642220,176784.6,819004.6,Paid,False
INVUID-000029,INV-438268,SO-392298,C0365,KOL001,2019-03-27,2019-05-26,1260820,352507.60000000003,1613327.6,Paid,False
INVUID-000030,INV-153034,SO-676819,C0191,KOL001,2021-05-17,2021-06-16,1890770,526858.6000000001,2417628.6,Partially Paid,False
INVUID-000031,INV-327432,SO-174126,C0269,CHN001,2021-05-31,2021-06-15,603280,168290.40000000005,771570.3999999999,Paid,False
INVUID-000032,INV-131738,SO-756981,C0053,DEL001,2020-05-04,2020-07-03,1894040,530157.2000000001,2424197.2,Paid,False
INVUID-000033,INV-378290,SO-315888,C0349,AHM001,2020-03-15,2020-04-14,1256630,319048.4,1575678.4,Paid,False
INVUID-000034,INV-708832,SO-151061,C0144,AHM001,2021-11-24,2022-01-23,533300,148964.0,682264.0,Unpaid,False
INVUID-000035,INV-853902,SO-542377,C0304,DEL001,2024-09-20,2024-11-19,2831080,787694.4,3618774.4,Paid,False
INVUID-000036,INV-814835,SO-913956,C0339,CHN001,2022-03-06,2022-04-05,1335960,361327.8000000001,1697287.8,Partially Paid,False
INVUID-000037,INV-661209,SO-903964,C0428,DEL001,2024-08-11,2024-10-10,2105740,588453.2000000001,2694193.2,Partially Paid,False
INVUID-000038,INV-972475,SO-453434,C0224,KOL001,2021-10-22,2021-12-21,2387750,658885.0000000001,3046635.0,Paid,False
INVUID-000039,INV-263467,SO-708042,C0386,DEL001,2021-04-13,2021-05-13,1903750,526860.0,2430610.0,Paid,False
INVUID-000040,INV-674427,SO-949415,C0017,CHN001,2020-08-26,2020-09-10,559100,139588.00000000003,698688.0,Unpaid,False
INVUID-000041,INV-572541,SO-388923,C0211,HYD001,2022-08-02,2022-08-17,1089300,286379.00000000006,1375679.0,Paid,False
INVUID-000042,INV-441708,SO-354080,C0461,DEL001,2023-10-19,2023-12-03,1317160,347768.8,1664928.8,Paid,False
INVUID-000043,INV-635373,SO-932489,C0139,AHM001,2019-05-06,2019-05-21,972100,272188.0,1244288.0,Paid,False
INVUID-000044,INV-324741,SO-599074,C0186,KOL001,2021-08-23,2021-09-22,1666150,441187.0,2107337.0,Paid,False
INVUID-000045,INV-800566,SO-890601,C0019,KOL001,2019-05-07,2019-05-22,499630,118833.4,618463.4,Paid,False
