payment_uid,payment_id,invoice_id,payment_date,payment_amount,payment_method,invoice_id_ambiguous
PAYUID-000001,PAY-207775,INV-786913,2023-10-07,3354624.0,Cheque,False
PAYUID-000002,PAY-942474,INV-697615,2021-11-23,1387911.0,Credit Card,False
PAYUID-000003,PAY-657121,INV-747829,2024-12-26,1475.0,Bank Transfer,False
PAYUID-000004,PAY-684019,INV-154762,2022-04-07,1050598.0,Cash,False
PAYUID-000005,PAY-166155,INV-159498,2019-10-29,3989208.8,Cash,False
PAYUID-000006,PAY-352053,INV-324708,2024-06-08,3373440.0,Cash,False
PAYUID-000007,PAY-374156,INV-705737,2021-02-01,1771642.8,UPI,False
PAYUID-000008,PAY-842283,INV-801362,2023-12-19,1638595.0,Credit Card,False
PAYUID-000009,PAY-977944,INV-662057,2024-10-29,1249000.4,Credit Card,False
PAYUID-000010,PAY-963118,INV-775723,2021-02-18,108732.0,Cheque,False
PAYUID-000011,PAY-388144,INV-756381,2020-04-03,263567.6,UPI,False
PAYUID-000012,PAY-882745,INV-475370,2019-08-07,3045428.0,Cheque,False
PAYUID-000013,PAY-300123,INV-963160,2024-09-06,650462.84,Bank Transfer,False
PAYUID-000014,PAY-372535,INV-576405,2021-11-15,451238.85,Bank Transfer,False
PAYUID-000015,PAY-884158,INV-114587,2019-10-03,2440874.4,Cash,False
PAYUID-000016,PAY-253168,INV-803272,2023-01-02,1467562.0,UPI,False
PAYUID-000017,PAY-366251,INV-620681,2021-11-28,9408.0,UPI,False
PAYUID-000018,PAY-901031,INV-247904,2022-06-13,39514.55,Cash,False
PAYUID-000019,PAY-653118,INV-759813,2020-11-03,587459.0,Bank Transfer,False
PAYUID-000020,PAY-244024,INV-397977,2019-02-23,194303.4,Cheque,False
PAYUID-000021,PAY-669990,INV-164998,2019-12-15,481440.0,Bank Transfer,False
PAYUID-000022,PAY-582904,INV-165894,2020-01-07,819004.6,Cheque,False
PAYUID-000023,PAY-632735,INV-438268,2019-05-22,385434.14,Credit Card,False
PAYUID-000024,PAY-108845,INV-438268,2019-04-30,1059672.52,Cash,False
PAYUID-000025,PAY-424177,INV-438268,2019-04-22,168220.94,Credit Card,False
PAYUID-000026,PAY-761263,INV-153034,2021-05-30,1309567.38,UPI,False
PAYUID-000027,PAY-333649,INV-327432,2021-07-13,771570.4,Bank Transfer,False
PAYUID-000028,PAY-761769,INV-131738,2020-05-13,2424197.2,Credit Card,False
PAYUID-000029,PAY-826151,INV-378290,2020-04-30,1575678.4,Credit Card,False
