po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total
PO-141186,SUP0001,PUN001,2019-04-10,2019-04-29,2019-04-29,Received,22955232.11,6427464.990800001,29382697.1008
PO-215234,SUP0005,DEL001,2020-12-30,2021-01-27,2021-01-27,Received,19406544.39,5428358.444200001,24834902.8342
PO-296826,SUP0008,AHM001,2022-04-05,2022-05-01,2022-05-01,Received,1295425.79,362719.2212,1658145.0112
PO-700652,SUP0004,AHM001,2019-07-29,2019-08-16,2019-08-17,Received,38753295.34,10803118.1392,49556413.4792
PO-120358,SUP0004,DEL001,2024-05-14,2024-06-01,2024-06-01,Received,614701.4500000001,110646.261,725347.7110000001
PO-975383,SUP0005,AHM001,2021-11-01,2021-11-29,2021-11-29,Received,122764.17,22097.5506,144861.7206
PO-699883,SUP0007,DEL001,2019-08-07,2019-08-19,2019-08-19,Received,5345955.880000001,1395145.1164000002,6741100.9964000005
PO-310142,SUP0003,CHN001,2020-02-29,2020-03-16,2020-03-16,Received,16578752.6,4385121.575,20963874.175
PO-251676,SUP0008,CHN001,2021-03-31,2021-04-26,2021-04-26,Received,12805178.43,3574206.4164000005,16379384.846400002
PO-299240,SUP0003,CHN001,2024-11-24,2024-12-10,2024-12-10,Received,6469409.87,1756206.1816,8225616.0516
PO-818082,SUP0006,HYD001,2020-03-29,2020-04-08,2020-04-08,Received,5511514.2700000005,1543223.9956000005,7054738.2656000005
PO-673963,SUP0006,CHN001,2019-03-08,2019-03-18,2019-03-18,Received,11124174.56,3112737.0128000006,14236911.5728
PO-743179,SUP0003,AHM001,2024-04-14,2024-04-30,2024-04-30,Received,18236726.14,5012752.167200001,23249478.3072
PO-502470,SUP0002,AHM001,2020-06-03,2020-06-13,2020-06-10,Received,10581773.54,2799234.1572,13381007.6972
PO-830379,SUP0002,PUN001,2022-09-03,2022-09-13,2022-09-13,Received,5920683.7,1634029.584,7554713.284
PO-525153,SUP0005,HYD001,2019-10-10,2019-11-07,,Cancelled,8461140.879999999,2270840.4224,10731981.3024
PO-735626,SUP0007,DEL001,2023-10-01,2023-10-13,2023-10-13,Received,44521.33,8013.839399999999,52535.16939999999
PO-951669,SUP0007,HYD001,2019-04-03,2019-04-15,2019-04-20,Received,27471534.97,7692029.791600001,35163564.7616
PO-470868,SUP0006,HYD001,2023-10-31,2023-11-10,2023-11-10,Received,26685330.22,7384160.741600001,34069490.9616
PO-496896,SUP0006,PUN001,2021-08-07,2021-08-17,2021-08-17,Received,1553902.1,427980.072,1981882.172
PO-821311,SUP0006,HYD001,2020-04-15,2020-04-25,,Cancelled,432693.48,121154.1744,553847.6544
PO-171706,SUP0002,AHM001,2020-11-21,2020-12-01,,Cancelled,15795288.26,4235064.353800001,20030352.6138
PO-774463,SUP0002,CHN001,2020-10-05,2020-10-15,2020-10-15,Received,4857242.85,1293832.321,6151075.171
PO-263864,SUP0008,HYD001,2021-06-29,2021-07-25,2021-07-25,Received,2729129.4,634870.208,3363999.608
PO-477755,SUP0004,AHM001,2020-12-14,2021-01-01,,Cancelled,10169288.25,2839404.126,13008692.376
PO-217806,SUP0008,AHM001,2022-11-29,2022-12-25,2022-12-25,Received,25616094.02,7144305.578600001,32760399.5986
PO-202458,SUP0003,PUN001,2022-06-11,2022-06-27,2022-06-26,Received,10241983.35,2810533.7040000004,13052517.054
PO-897684,SUP0004,HYD001,2024-08-07,2024-08-25,2024-08-25,Received,5691486.76,1211243.4858,6902730.2458
PO-335794,SUP0001,AHM001,2024-06-18,2024-07-07,2024-07-07,Received,13935044.38,3901812.4264,17836856.8064
PO-834946,SUP0005,KOL001,2022-06-13,2022-07-11,2022-07-11,Received,9574023.5,2633527.9810000006,12207551.481
PO-494220,SUP0003,HYD001,2024-03-11,2024-03-27,2024-03-27,Received,3814063.28,1052253.3644,4866316.6444
PO-709137,SUP0008,AHM001,2020-05-09,2020-06-04,2020-06-04,Received,2706435.0500000003,744207.5160000002,3450642.566
PO-341939,SUP0002,DEL001,2023-05-04,2023-05-14,2023-05-19,Received,27704844.38,7318457.5054,35023301.8854
PO-908623,SUP0007,DEL001,2023-07-24,2023-08-05,,Cancelled,12489544.03,3478901.3554,15968445.3854
PO-338935,SUP0002,KOL001,2022-08-30,2022-09-09,2022-09-09,Received,932141.25,234945.08300000004,1167086.333
PO-928717,SUP0006,DEL001,2024-06-04,2024-06-14,2024-06-14,Received,33903564.14,9483940.1192,43387504.2592
PO-124043,SUP0003,CHN001,2024-06-30,2024-07-16,2024-07-16,Received,7983395.93,2184113.9364,10167509.8664
PO-409171,SUP0008,AHM001,2020-04-12,2020-05-08,,Cancelled,13840642.02,3794647.231600001,17635289.2516
PO-293665,SUP0002,PUN001,2023-07-04,2023-07-14,2023-07-14,Received,9722904.4,2717611.9680000003,12440516.368
PO-623109,SUP0002,CHN001,2022-01-04,2022-01-14,2022-01-20,Received,12859177.79,3453397.6642,16312575.4542
PO-846758,SUP0004,CHN001,2022-10-21,2022-11-08,,Cancelled,10749317.42,2989852.0206000004,13739169.4406
PO-318205,SUP0007,HYD001,2020-11-26,2020-12-08,,Cancelled,12548822.44,3200820.7032000003,15749643.1432
PO-884712,SUP0006,CHN001,2021-10-31,2021-11-10,2021-11-10,Received,13356960.8,3697808.022,17054768.822
PO-485392,SUP0002,DEL001,2022-11-13,2022-11-23,2022-11-30,Received,9460973.79,2557384.6422,12018358.4322
PO-405823,SUP0001,AHM001,2024-02-12,2024-03-02,2024-03-08,Received,30318523.08,8450605.2534,38769128.3334
PO-504755,SUP0008,AHM001,2021-04-16,2021-05-12,2021-05-12,Received,2724938.63,700300.4934000002,3425239.1234
PO-132356,SUP0001,PUN001,2022-09-25,2022-10-14,2022-10-14,Received,8595970.32,2331168.0426000003,10927138.3626
PO-231186,SUP0006,PUN001,2023-06-17,2023-06-27,2023-06-27,Received,16131498.01,4346041.7338,20477539.7438
PO-863705,SUP0001,PUN001,2022-05-28,2022-06-16,2022-06-16,Received,21711.72,3908.1096,25619.8296
PO-496930,SUP0002,CHN001,2022-08-29,2022-09-08,2022-09-08,Received,26562929.24,7028593.7632,33591523.003199995
PO-614627,SUP0004,HYD001,2021-02-14,2021-03-04,2021-03-11,Received,1717717.33,412226.4544,2129943.7844
PO-243668,SUP0007,PUN001,2019-11-17,2019-11-29,2019-11-27,Received,10454730.64,2880594.1212000004,13335324.7612
PO-982907,SUP0007,CHN001,2021-04-08,2021-04-20,2021-04-20,Received,433512.56,78032.26079999999,511544.8208
PO-796561,SUP0002,KOL001,2022-08-18,2022-08-28,2022-08-28,Received,10564952.98,2941025.1544000003,13505978.1344
PO-920900,SUP0002,HYD001,2020-12-30,2021-01-09,2021-01-09,Received,8426266.5,2279484.816,10705751.316000002
PO-336963,SUP0008,PUN001,2019-07-22,2019-08-17,2019-08-17,Received,28721244.66,7951865.672800001,36673110.3328
PO-112261,SUP0004,AHM001,2019-12-11,2019-12-29,2019-12-29,Received,3203164.2100000004,878774.4938,4081938.7038
PO-863438,SUP0005,KOL001,2019-06-30,2019-07-28,2019-07-28,Received,10879529.62,3010489.2296,13890018.8496
PO-825717,SUP0002,AHM001,2024-07-20,2024-07-30,,Cancelled,29676822.68,8202855.1764,37879677.8564
PO-476858,SUP0004,PUN001,2020-09-22,2020-10-10,,Cancelled,28929559.9,7941311.694000001,36870871.594
PO-859259,SUP0004,AHM001,2024-05-01,2024-05-19,2024-05-20,Received,2607039.86,659284.5108,3266324.3708
PO-736545,SUP0006,CHN001,2021-09-07,2021-09-17,2021-09-17,Received,25500410.3,7034471.851000001,32534882.151
PO-819647,SUP0001,HYD001,2020-04-27,2020-05-16,2020-05-16,Received,21689285.11,5824245.4478,27513530.5578
PO-813658,SUP0006,CHN001,2023-03-12,2023-03-22,,Cancelled,18577883.89,5191347.188200001,23769231.0782
PO-288319,SUP0001,KOL001,2023-05-23,2023-06-11,2023-06-11,Received,3568887.8000000003,999288.584,4568176.384000001
PO-466358,SUP0007,CHN001,2022-11-20,2022-12-02,2022-12-03,Received,27230465.38,7533778.523400001,34764243.9034
PO-578779,SUP0003,CHN001,2024-05-31,2024-06-16,2024-06-16,Received,15219785.24,4231311.290200001,19451096.5302
PO-478403,SUP0005,KOL001,2024-02-09,2024-03-08,2024-03-14,Received,20017777.86,5447484.9608000005,25465262.8208
PO-168434,SUP0008,KOL001,2023-09-05,2023-10-01,2023-10-01,Received,32499987.77,8999132.152600002,41499119.92260001
PO-156227,SUP0001,PUN001,2024-08-10,2024-08-29,2024-09-03,Received,642565.5199999999,179918.3456,822483.8655999999
PO-710552,SUP0006,DEL001,2021-01-25,2021-02-04,2021-02-04,Received,3267027.9,853625.322,4120653.222
PO-103773,SUP0005,HYD001,2023-08-05,2023-09-02,2023-09-02,Received,28593691.03,7806005.9024,36399696.9324
PO-400178,SUP0003,AHM001,2019-03-16,2019-04-01,2019-04-01,Received,25723192.6,7186250.428000001,32909443.028000005
PO-457507,SUP0008,KOL001,2023-05-30,2023-06-25,2023-06-25,Received,7473639.65,2074623.3320000004,9548262.982
PO-600808,SUP0005,KOL001,2019-07-29,2019-08-26,2019-08-26,Received,36233433.54,10125331.051200002,46358764.5912
PO-849975,SUP0007,CHN001,2019-09-21,2019-10-03,2019-10-03,Received,16154212.41,4517227.162800001,20671439.572800003
PO-513384,SUP0002,CHN001,2022-06-28,2022-07-08,2022-07-08,Received,15373663.87,4097128.100600001,19470791.9706
PO-226530,SUP0003,DEL001,2021-09-29,2021-10-15,2021-10-15,Received,896493.25,225070.87500000003,1121564.125
PO-180132,SUP0005,AHM001,2020-09-08,2020-10-06,2020-10-06,Received,13896431.36,3772525.0308,17668956.390800003
PO-547983,SUP0008,CHN001,2021-10-30,2021-11-25,2021-11-25,Received,2828135.8,791878.0240000001,3620013.824
PO-362725,SUP0007,PUN001,2019-02-15,2019-02-27,2019-02-27,Received,5352816.84,1429789.9392,6782606.779200001
PO-872444,SUP0007,HYD001,2019-09-20,2019-10-02,2019-10-02,Received,18276864.8,4937747.059,23214611.859
PO-934131,SUP0006,AHM001,2021-09-15,2021-09-25,2021-09-25,Received,7688395.14,2148218.0552000003,9836613.1952
PO-745052,SUP0002,DEL001,2020-08-30,2020-09-09,2020-09-16,Received,11130823.15,2994932.3090000004,14125755.459
PO-803690,SUP0008,DEL001,2020-02-09,2020-03-06,2020-03-07,Received,6335867.49,1441345.0252,7777212.5152
PO-619938,SUP0007,HYD001,2022-10-26,2022-11-07,2022-11-07,Received,27793397.72,7534939.6336,35328337.3536
PO-495978,SUP0007,KOL001,2020-11-19,2020-12-01,2020-12-07,Received,15249589.31,4135343.1318,19384932.4418
PO-168420,SUP0005,DEL001,2022-12-27,2023-01-24,2023-01-24,Received,35140147.23,9782387.7944,44922535.0244
PO-121334,SUP0006,CHN001,2024-02-28,2024-03-09,2024-03-09,Received,20578554.29,5638993.4132,26217547.7032
PO-947330,SUP0004,HYD001,2022-10-05,2022-10-23,2022-10-24,Received,41754572.64,11660006.9502,53414579.59020001
PO-222169,SUP0001,DEL001,2022-12-19,2023-01-07,2023-01-07,Received,41498447.46,11613873.8238,53112321.283800006
PO-203757,SUP0008,CHN001,2021-08-19,2021-09-14,2021-09-14,Received,19889185.01,5456008.365800001,25345193.3758
PO-344527,SUP0001,KOL001,2023-11-22,2023-12-11,2023-12-11,Received,7863847.43,2044266.4064,9908113.8364
PO-538298,SUP0008,CHN001,2024-05-04,2024-05-30,2024-05-30,Received,38813138.85,10709775.037,49522913.887
PO-389815,SUP0006,AHM001,2023-04-07,2023-04-17,2023-04-18,Received,75416614.47,21101205.546600003,96517820.0166
PO-951720,SUP0005,CHN001,2023-03-07,2023-04-04,2023-04-04,Received,4436001.92,1014834.2496,5450836.169600001
PO-851935,SUP0004,HYD001,2022-01-09,2022-01-27,2022-01-27,Received,3013888.9200000004,830286.9156000002,3844175.8356
PO-798967,SUP0008,PUN001,2021-10-11,2021-11-06,2021-11-06,Received,14548320.93,4066880.8124,18615201.7424
PO-379712,SUP0003,DEL001,2019-06-21,2019-07-07,2019-07-14,Received,4484451.69,1134905.3982000002,5619357.0882
