po_id,line_number,product_id,quantity,unit_cost,gst_rate,line_total,gst_amount,line_grand_total
PO-141186,1,P004,234,34709.54,28,8122032.36,2274169.0608,10396201.4208
PO-141186,2,P022,79,12317.84,28,973109.36,272470.62080000003,1245579.9808
PO-141186,3,P030,46,13840.45,28,636660.7000000001,178264.99600000004,814925.6960000001
PO-141186,4,P001,293,16988.41,28,4977604.13,1393729.1564000002,6371333.2864
PO-141186,5,P014,126,65443.06,28,8245825.56,2308831.1568,10554656.7168
PO-215234,1,P012,227,1985.77,28,450769.79,126215.5412,576985.3312
PO-215234,2,P007,55,995.27,18,54739.85,9853.173,64593.023
PO-215234,3,P014,281,61561.27,28,17298716.869999997,4843640.7236,22142357.5936
PO-215234,4,P010,57,28110.84,28,1602317.88,448649.0064000001,2050966.8864
PO-296826,1,P006,139,9319.61,28,1295425.79,362719.2212,1658145.0112
PO-700652,1,P001,173,20348.3,28,3520255.9,985671.652,4505927.552
PO-700652,2,P007,259,976.48,18,252908.32,45523.4976,298431.8176
PO-700652,3,P014,287,63342.44,28,18179280.28,5090198.4784,23269478.7584
PO-700652,4,P011,176,19943.35,28,3510029.6,982808.288,4492837.887999999
PO-700652,5,P027,118,305.22,18,36015.96000000001,6482.872800000001,42498.8328
PO-700652,6,P015,150,87104.56,28,13065684.0,3658391.520000001,16724075.52
PO-700652,7,P028,128,1477.51,18,189121.28,34041.8304,223163.1104
PO-120358,1,P029,253,2429.65,18,614701.4500000001,110646.261,725347.7110000001
PO-975383,1,P027,291,421.87,18,122764.17,22097.5506,144861.7206
PO-699883,1,P005,22,5982.98,28,131625.56,36855.1568,168480.7168
PO-699883,2,P025,182,5589.15,18,1017225.3,183100.554,1200325.8539999998
PO-699883,3,P009,193,9694.43,28,1871024.99,523886.9972,2394911.9872
PO-699883,4,P023,219,10621.37,28,2326080.0300000003,651302.4084000002,2977382.4384000003
PO-310142,1,P029,29,2640.33,18,76569.56999999999,13782.522599999998,90352.0926
PO-310142,2,P004,275,30681.82,28,8437500.5,2362500.14,10800000.64
PO-310142,3,P024,297,9138.61,28,2714167.1700000004,759966.8076000002,3474133.977600001
PO-310142,4,P023,297,9622.2,28,2857793.4000000004,800182.1520000002,3657975.5520000006
PO-310142,5,P016,284,8777.19,18,2492721.96,448689.9528,2941411.9128
PO-251676,1,P021,132,32115.88,28,4239296.16,1187002.9248000002,5426299.0848
PO-251676,2,P014,27,64788.48,28,1749288.9600000002,489800.9088000001,2239089.8688000003
PO-251676,3,P017,87,389.77,18,33909.99,6103.798199999999,40013.7882
PO-251676,4,P024,107,9032.98,28,966528.86,270628.0808,1237156.9408
PO-251676,5,P006,207,9631.11,28,1993639.77,558219.1356,2551858.9056
PO-251676,6,P005,124,6241.66,28,773965.84,216710.4352,990676.2752
PO-251676,7,P007,81,969.45,18,78525.45,14134.580999999998,92660.031
PO-251676,8,P021,90,33000.26,28,2970023.4000000004,831606.5520000001,3801629.952000001
PO-299240,1,P017,88,466.19,18,41024.72,7384.4496,48409.1696
PO-299240,2,P002,178,617.04,18,109833.12,19769.9616,129603.0816
PO-299240,3,P019,53,35641.63,28,1889006.39,528921.7892,2417928.1792
PO-299240,4,P029,49,3205.18,18,157053.81999999998,28269.687599999997,185323.5076
PO-299240,5,P006,286,7127.81,28,2038553.66,570795.0248000001,2609348.6848000004
PO-299240,6,P003,128,768.19,18,98328.32,17699.0976,116027.41760000002
PO-299240,7,P020,50,873.81,18,43690.5,7864.29,51554.79
PO-299240,8,P005,300,6631.88,28,1989564.0,557077.92,2546641.92
PO-299240,9,P007,89,1150.06,18,102355.34,18423.9612,120779.3012
PO-818082,1,P009,161,9635.54,28,1551321.9400000002,434370.1432000001,1985692.0832
PO-818082,2,P023,283,11442.78,28,3238306.74,906725.8872,4145032.627200001
PO-818082,3,P021,23,31386.33,28,721885.5900000001,202127.96520000004,924013.5552
PO-673963,1,P014,64,61792.11,28,3954695.04,1107314.6112000002,5062009.6512
PO-673963,2,P020,24,846.61,18,20318.64,3657.3552,23975.9952
PO-673963,3,P012,280,1908.25,28,534310.0,149606.80000000002,683916.8
PO-673963,4,P018,283,7884.03,28,2231180.49,624730.5372,2855911.0272
PO-673963,5,P005,161,5798.45,28,933550.45,261394.126,1194944.576
PO-673963,6,P011,171,20176.14,28,3450119.94,966033.5832,4416153.5232
PO-743179,1,P004,83,31795.11,28,2638994.13,738918.3564,3377912.4864
PO-743179,2,P001,105,21285.04,28,2234929.2,625780.1760000001,2860709.376
PO-743179,3,P025,143,6540.64,18,935311.52,168356.0736,1103667.5936
PO-743179,4,P011,215,17457.59,28,3753381.85,1050946.918,4804328.768
PO-743179,5,P019,269,32245.76,28,8674109.44,2428750.6432000003,11102860.0832
PO-502470,1,P008,111,427.99,18,47506.89,8551.2402,56058.1302
PO-502470,2,P022,290,13343.46,28,3869603.4,1083488.952,4953092.352
PO-502470,3,P001,295,17205.24,28,5075545.800000001,1421152.8240000005,6496698.624000001
PO-502470,4,P007,113,958.77,18,108341.01,19501.3818,127842.3918
PO-502470,5,P025,286,5177.54,18,1480776.44,266539.7592,1747316.1992
PO-830379,1,P020,92,848.62,18,78073.04,14053.147199999998,92126.1872
PO-830379,2,P010,229,23608.48,28,5406341.92,1513775.7376,6920117.6576000005
PO-830379,3,P028,86,1855.18,18,159545.48,28718.1864,188263.6664
PO-830379,4,P012,179,1545.94,28,276723.26,77482.51280000001,354205.77280000004
PO-525153,1,P016,34,7028.97,18,238984.98,43017.2964,282002.27640000003
PO-525153,2,P007,160,1085.18,18,173628.80000000002,31253.184,204881.98400000003
PO-525153,3,P005,184,5391.02,28,991947.68,277745.35040000005,1269693.0304
PO-525153,4,P007,205,1150.55,18,235862.75,42455.295,278318.045
PO-525153,5,P024,150,9042.38,28,1356356.9999999998,379779.96,1736136.9599999995
PO-525153,6,P010,56,29599.26,28,1657558.5599999998,464116.3968,2121674.9568
PO-525153,7,P010,100,22288.08,28,2228808.0,624066.2400000001,2852874.24
PO-525153,8,P002,89,432.35,18,38479.15,6926.247,45405.397
PO-525153,9,P016,38,7785.12,18,295834.56,53250.2208,349084.7808
PO-525153,10,P024,180,6909.33,28,1243679.4,348230.232,1591909.632
PO-735626,1,P026,161,276.53,18,44521.33,8013.839399999999,52535.16939999999
PO-951669,1,P015,275,98081.11,28,26972305.25,7552245.470000001,34524550.72
PO-951669,2,P012,253,1973.24,28,499229.72,139784.32160000002,639014.0416000001
PO-470868,1,P001,192,18452.2,28,3542822.4000000004,991990.2720000002,4534812.672
PO-470868,2,P022,21,11271.43,28,236700.03,66276.0084,302976.0384
PO-470868,3,P014,293,73952.64,28,21668123.52,6067074.585600001,27735198.1056
PO-470868,4,P007,58,1182.97,18,68612.26,12350.206799999998,80962.4668
PO-470868,5,P013,159,1030.9,18,163913.1,29504.358,193417.458
PO-470868,6,P028,259,1834.46,18,475125.14,85522.5252,560647.6652
PO-470868,7,P003,163,1040.9,18,169666.7,30540.006,200206.706
PO-470868,8,P005,49,7354.43,28,360367.07,100902.7796,461269.8496
PO-496896,1,P005,278,5333.73,28,1482776.94,415177.5432,1897954.4832
PO-496896,2,P002,124,573.59,18,71125.16,12802.5288,83927.6888
PO-821311,1,P012,211,2050.68,28,432693.48,121154.1744,553847.6544
PO-171706,1,P027,90,316.58,18,28492.2,5128.596,33620.795999999995
PO-171706,2,P029,207,3515.85,18,727780.95,131000.57099999998,858781.521
PO-171706,3,P013,128,1267.18,18,162199.04,29195.8272,191394.8672
PO-171706,4,P020,195,741.98,18,144686.1,26043.498,170729.598
PO-171706,5,P011,255,17342.86,28,4422429.3,1238280.204,5660709.504
PO-171706,6,P006,73,8038.71,28,586825.83,164311.2324,751137.0623999999
PO-171706,7,P014,143,62306.78,28,8909869.54,2494763.4712,11404633.0112
PO-171706,8,P025,115,5127.24,18,589632.6,106133.868,695766.468
PO-171706,9,P028,89,1778.54,18,158290.06,28492.2108,186782.2708
PO-171706,10,P027,163,399.28,18,65082.63999999999,11714.8752,76797.5152
PO-774463,1,P028,267,1404.71,18,375057.57,67510.3626,442567.9326
PO-774463,2,P027,288,300.91,18,86662.08,15599.1744,102261.2544
PO-774463,3,P005,295,6182.73,28,1823905.35,510693.498,2334598.848
PO-774463,4,P007,173,1157.44,18,200237.12,36042.6816,236279.8016
PO-774463,5,P018,190,8725.12,28,1657772.8,464176.3840000001,2121949.1840000004
PO-774463,6,P018,87,8202.39,28,713607.9299999999,199810.2204,913418.1504
PO-263864,1,P027,159,384.64,18,61157.76,11008.3968,72166.1568
PO-263864,2,P025,72,6502.7,18,468194.4,84274.99199999998,552469.392
PO-263864,3,P018,146,9837.46,28,1436269.16,402155.3648,1838424.5248
PO-263864,4,P002,210,469.3,18,98553.0,17739.54,116292.54
PO-263864,5,P029,205,2685.32,18,550490.6,99088.308,649578.9079999999
PO-263864,6,P003,104,1100.62,18,114464.47999999998,20603.6064,135068.08639999997
PO-477755,1,P026,189,214.8,18,40597.2,7307.496,47904.696
PO-477755,2,P030,81,17712.97,28,1434750.57,401730.1596000001,1836480.7296
PO-477755,3,P006,214,9806.84,28,2098663.76,587625.8528000001,2686289.6128
PO-477755,4,P027,92,427.92,18,39368.64,7086.3552,46454.9952
PO-477755,5,P019,139,25655.44,28,3566106.16,998509.7248,4564615.8848
PO-477755,6,P030,178,16796.64,28,2989801.92,837144.5376,3826946.4576
PO-217806,1,P027,138,422.34,18,58282.92,10490.9256,68773.8456
PO-217806,2,P021,235,32047.46,28,7531153.1,2108722.868,9639875.968
PO-217806,3,P015,67,86217.0,28,5776539.0,1617430.9200000002,7393969.92
PO-217806,4,P002,219,621.7,18,136152.30000000002,24507.414,160659.714
PO-217806,5,P011,259,21899.53,28,5671978.27,1588153.9156,7260132.185599999
PO-217806,6,P027,225,389.21,18,87572.25,15763.005,103335.255
PO-217806,7,P024,254,8736.07,28,2218961.78,621309.2984,2840271.0784
PO-217806,8,P010,132,31329.2,28,4135454.4,1157927.232,5293381.632
PO-202458,1,P029,219,2612.86,18,572216.3400000001,102998.94120000002,675215.2812000001
PO-202458,2,P001,165,15964.84,28,2634198.6,737575.6080000001,3371774.208
PO-202458,3,P019,281,25037.61,28,7035568.41,1969959.1548,9005527.5648
PO-897684,1,P020,112,963.05,18,107861.6,19415.088,127276.688
PO-897684,2,P025,267,6266.13,18,1673056.71,301150.2078,1974206.9178
PO-897684,3,P007,116,1069.2,18,124027.2,22324.896,146352.09600000002
PO-897684,4,P011,85,16911.93,28,1437514.05,402503.93400000007,1840017.984
PO-897684,5,P016,257,7466.08,18,1918782.56,345380.8608,2264163.4208
PO-897684,6,P012,252,1707.32,28,430244.64,120468.4992,550713.1392
PO-335794,1,P009,209,12172.26,28,2544002.34,712320.6552,3256322.9952
PO-335794,2,P022,209,12197.69,28,2549317.21,713808.8188,3263126.0288
