so_id,customer_id,branch_id,order_date,delivery_date,order_status,payment_terms,total_order_value,total_gst_amount,grand_total,sales_channel
SO-990591,C0070,AHM001,2022-05-24,2022-05-28,Delivered,Net 30,1345720,374439.6,1720159.6,Counter Sale
SO-431510,C0031,KOL001,2022-05-01,2022-05-08,Delivered,Advance,2194850,609423.0000000001,2804273.0,Dealer Network
SO-495859,C0013,AHM001,2023-10-01,2023-10-02,Delivered,Advance,2620800,733824.0000000001,3354624.0,Online
SO-745068,C0382,HYD001,2021-10-04,2021-10-09,Delivered,Advance,1094950,292961.0,1387911.0,Online
SO-175713,C0472,CHN001,2024-10-31,2024-11-04,Delivered,Net 45,1250,225.0,1475.0,Counter Sale
SO-299557,C0288,DEL001,2022-02-15,2022-02-26,Delivered,Net 30,826600,223998.00000000003,1050598.0,Field Sales
SO-508292,C0463,AHM001,2019-10-11,2019-10-18,Delivered,Net 15,3118660,870548.8,3989208.8,Online
SO-527363,C0364,KOL001,2024-05-15,2024-05-30,Delivered,Net 30,2635500,737940.0000000001,3373440.0,Counter Sale
SO-720172,C0015,PUN001,2021-01-03,2021-01-16,Delivered,Net 15,1411460,360182.80000000005,1771642.8,Dealer Network
SO-494369,C0100,KOL001,2022-02-06,2022-02-21,Delivered,Net 30,3841750,1065370.0,4907120.0,Dealer Network
SO-485921,C0489,CHN001,2024-01-10,2024-01-24,Delivered,Net 30,2629250,722300.0000000001,3351550.0,Counter Sale
SO-889434,C0242,CHN001,2023-10-22,2023-11-05,Delivered,Advance,1293500,345095.00000000006,1638595.0,Online
SO-835154,C0021,HYD001,2021-10-03,2021-10-12,Delivered,Net 15,2523030,680905.4000000001,3203935.4,Field Sales
SO-802509,C0325,KOL001,2024-10-06,2024-10-11,Delivered,Net 30,979280,269720.4,1249000.4,Dealer Network
SO-627758,C0285,PUN001,2021-01-03,2021-01-10,Delivered,Net 15,87400,21332.0,108732.0,Counter Sale
SO-679314,C0047,PUN001,2020-02-12,2020-02-20,Delivered,Net 60,207320,56247.600000000006,263567.6,Counter Sale
SO-344627,C0493,CHN001,2019-07-26,2019-08-04,Delivered,Advance,2386600,658828.0000000001,3045428.0,Field Sales
SO-201505,C0053,DEL001,2024-06-22,2024-06-30,Delivered,Net 60,860700,235836.00000000003,1096536.0,Counter Sale
SO-256526,C0096,CHN001,2021-10-08,2021-10-15,Delivered,Net 15,1252800,327774.00000000006,1580574.0,Counter Sale
SO-635095,C0365,KOL001,2021-12-24,2021-12-27,Delivered,Net 60,1326890,368645.20000000007,1695535.2,Counter Sale
SO-532392,C0485,PUN001,2019-09-18,2019-10-02,Delivered,Net 60,1915080,525794.4,2440874.4,Field Sales
SO-142238,C0246,DEL001,2022-12-07,2022-12-18,Delivered,Net 30,1154900,312662.00000000006,1467562.0,Online
SO-875606,C0012,CHN001,2021-11-03,2021-11-04,Delivered,Advance,7350,2058.0,9408.0,Dealer Network
SO-136658,C0291,HYD001,2022-05-11,2022-05-20,Delivered,Advance,122900,33162.0,156062.0,Dealer Network
SO-176390,C0375,PUN001,2020-08-28,2020-09-06,Delivered,Net 60,459050,128409.0,587459.0,Field Sales
SO-478919,C0389,AHM001,2021-01-17,2021-01-18,Cancelled,Advance,2852890,785540.2000000001,3638430.2,Counter Sale
SO-209359,C0495,AHM001,2019-01-28,2019-02-06,Delivered,Net 45,154130,40173.4,194303.4,Dealer Network
SO-495436,C0038,DEL001,2019-10-30,2019-11-14,Delivered,Net 15,408000,73440.0,481440.0,Dealer Network
SO-482833,C0157,PUN001,2020-12-15,2020-12-25,Cancelled,Advance,1524250,412405.00000000006,1936655.0,Dealer Network
SO-587867,C0365,KOL001,2019-11-30,2019-12-02,Delivered,Net 60,642220,176784.6,819004.6,Counter Sale
SO-392298,C0365,KOL001,2019-03-17,2019-03-27,Delivered,Net 60,1260820,352507.60000000003,1613327.6,Field Sales
SO-676819,C0191,KOL001,2021-05-16,2021-05-17,Delivered,Net 30,1890770,526858.6000000001,2417628.6,Counter Sale
SO-174126,C0269,CHN001,2021-05-27,2021-05-31,Delivered,Net 15,603280,168290.40000000005,771570.3999999999,Dealer Network
SO-756981,C0053,DEL001,2020-05-03,2020-05-04,Delivered,Net 60,1894040,530157.2000000001,2424197.2,Dealer Network
SO-315888,C0349,AHM001,2020-03-04,2020-03-15,Delivered,Advance,1256630,319048.4,1575678.4,Counter Sale
SO-151061,C0144,AHM001,2021-11-13,2021-11-24,Delivered,Net 60,533300,148964.0,682264.0,Field Sales
SO-542377,C0304,DEL001,2024-09-19,2024-09-20,Delivered,Net 60,2831080,787694.4,3618774.4,Dealer Network
SO-195425,C0294,HYD001,2020-12-26,2021-01-04,Cancelled,Net 45,949650,256912.00000000003,1206562.0,Counter Sale
SO-913956,C0339,CHN001,2022-03-04,2022-03-06,Delivered,Advance,1335960,361327.8000000001,1697287.8,Counter Sale
SO-903964,C0428,DEL001,2024-08-09,2024-08-11,Delivered,Net 60,2105740,588453.2000000001,2694193.2,Field Sales
SO-453434,C0224,KOL001,2021-10-12,2021-10-22,Delivered,Net 60,2387750,658885.0000000001,3046635.0,Field Sales
SO-708042,C0386,DEL001,2021-04-01,2021-04-13,Delivered,Net 30,1903750,526860.0,2430610.0,Dealer Network
SO-949415,C0017,CHN001,2020-08-17,2020-08-26,Delivered,Net 15,559100,139588.00000000003,698688.0,Dealer Network
SO-388923,C0211,HYD001,2022-07-30,2022-08-02,Delivered,Net 15,1089300,286379.00000000006,1375679.0,Counter Sale
SO-354080,C0461,DEL001,2023-10-11,2023-10-19,Delivered,Net 45,1317160,347768.8,1664928.8,Dealer Network
SO-932489,C0139,AHM001,2019-05-03,2019-05-06,Delivered,Net 15,972100,272188.0,1244288.0,Dealer Network
SO-826878,C0133,AHM001,2020-10-29,2020-10-31,Cancelled,Net 15,1900450,526611.0,2427061.0,Dealer Network
SO-599074,C0186,KOL001,2021-08-21,2021-08-23,Delivered,Net 30,1666150,441187.0,2107337.0,Field Sales
SO-890601,C0019,KOL001,2019-05-01,2019-05-07,Delivered,Net 15,499630,118833.4,618463.4,Field Sales
SO-413914,C0478,DEL001,2019-02-04,2019-02-15,Delivered,Net 30,1779400,497392.00000000006,2276792.0,Online
SO-593211,C0136,AHM001,2019-07-02,2019-07-09,Delivered,Advance,656760,181736.8,838496.8,Online
SO-991527,C0010,CHN001,2022-03-25,2022-04-01,Delivered,Net 30,1590750,426555.00000000006,2017305.0,Field Sales
SO-301893,C0456,DEL001,2022-11-27,2022-12-06,Delivered,Advance,72910,13123.8,86033.8,Online
SO-883432,C0258,CHN001,2024-08-31,2024-09-06,Delivered,Net 60,3757510,1036061.8,4793571.8,Dealer Network
SO-282095,C0373,HYD001,2022-09-02,2022-09-16,Delivered,Net 15,461550,105429.0,566979.0,Dealer Network
SO-597054,C0203,AHM001,2024-09-19,2024-10-03,Delivered,Net 30,29800,8344.0,38144.0,Dealer Network
SO-341588,C0352,KOL001,2019-06-28,2019-07-04,Cancelled,Net 45,2620160,729698.8000000002,3349858.8,Field Sales
SO-874829,C0404,AHM001,2020-03-09,2020-03-12,Delivered,Net 30,2132230,592551.4000000001,2724781.4,Field Sales
SO-158058,C0087,HYD001,2019-07-24,2019-08-06,Delivered,Net 60,293950,79931.00000000001,373881.0,Field Sales
SO-570289,C0286,CHN001,2021-08-04,2021-08-19,Delivered,Net 30,2834240,786243.2000000001,3620483.2,Dealer Network
SO-234082,C0140,PUN001,2024-06-10,2024-06-19,Cancelled,Net 60,2140400,597362.0000000001,2737762.0,Online
SO-851010,C0222,DEL001,2022-04-21,2022-05-02,Delivered,Net 30,1921140,529380.2000000001,2450520.2,Counter Sale
