so_id,line_number,product_id,quantity,unit_price,gst_rate,line_total,gst_amount,line_grand_total
SO-990591,1,P018,19,11300,28,214700,60116.00000000001,274816.0
SO-990591,2,P026,2,310,18,620,111.6,731.6
SO-990591,3,P026,3,310,18,930,167.4,1097.4
SO-990591,4,P013,9,1450,18,13050,2349.0,15399.0
SO-990591,5,P004,3,39800,28,119400,33432.0,152832.0
SO-990591,6,P001,9,24500,28,220500,61740.00000000001,282240.0
SO-990591,7,P021,3,46200,28,138600,38808.00000000001,177408.0
SO-990591,8,P010,11,34900,28,383900,107492.0,491392.0
SO-990591,9,P001,10,24500,28,245000,68600.0,313600.0
SO-990591,10,P026,16,310,18,4960,892.8,5852.8
SO-990591,11,P008,7,580,18,4060,730.8,4790.8
SO-431510,1,P015,13,119000,28,1547000,433160.00000000006,1980160.0
SO-431510,2,P010,12,34900,28,418800,117264.0,536064.0
SO-431510,3,P030,4,21900,28,87600,24528.000000000004,112128.0
SO-431510,4,P023,5,12950,28,64750,18130.0,82880.0
SO-431510,5,P005,3,8450,28,25350,7098.000000000001,32448.0
SO-431510,6,P029,13,3950,18,51350,9243.0,60593.0
SO-495859,1,P018,2,11300,28,22600,6328.000000000001,28928.0
SO-495859,2,P021,3,46200,28,138600,38808.00000000001,177408.0
SO-495859,3,P004,2,39800,28,79600,22288.000000000004,101888.0
SO-495859,4,P015,20,119000,28,2380000,666400.0000000001,3046400.0
SO-745068,1,P003,1,1250,18,1250,225.0,1475.0
SO-745068,2,P019,10,39800,28,398000,111440.0,509440.0
SO-745068,3,P025,12,7850,18,94200,16956.0,111156.0
SO-745068,4,P011,7,27600,28,193200,54096.00000000001,247296.0
SO-745068,5,P016,4,10200,18,40800,7344.0,48144.0
SO-745068,6,P001,15,24500,28,367500,102900.0,470400.0
SO-175713,1,P003,1,1250,18,1250,225.0,1475.0
SO-299557,1,P012,6,2450,28,14700,4116.0,18816.0
SO-299557,2,P025,5,7850,18,39250,7065.0,46315.0
SO-299557,3,P010,9,34900,28,314100,87948.00000000001,402048.0
