movement_id,product_id,branch_id,movement_type,movement_date,quantity,reference_type,reference_id,running_balance
MOV-OUT-184742,P001,AHM001,OUT,2019-01-03,8,SO,SO-157767,228
MOV-OUT-208422,P001,AHM001,OUT,2019-01-05,12,SO,SO-168735,216
MOV-IN-111128,P001,AHM001,IN,2019-01-23,174,PO,PO-181094,390
MOV-OUT-159140,P001,AHM001,OUT,2019-01-25,12,SO,SO-947377,378
MOV-OUT-173693,P001,AHM001,OUT,2019-01-25,11,SO,SO-879896,367
MOV-IN-79354,P001,AHM001,IN,2019-01-31,80,PO,PO-108730,447
MOV-OUT-201160,P001,AHM001,OUT,2019-02-07,7,SO,SO-631247,440
MOV-IN-54193,P001,AHM001,IN,2019-02-08,51,PO,PO-985728,491
MOV-IN-54189,P001,AHM001,IN,2019-02-08,242,PO,PO-985728,733
MOV-IN-70161,P001,AHM001,IN,2019-02-10,158,PO,PO-959228,891
MOV-IN-26302,P001,AHM001,IN,2019-02-11,106,PO,PO-108553,997
MOV-IN-141151,P001,AHM001,IN,2019-02-15,82,PO,PO-790559,1079
MOV-IN-22470,P001,AHM001,IN,2019-02-17,78,PO,PO-835746,1157
MOV-IN-18844,P001,AHM001,IN,2019-02-24,191,PO,PO-738570,1348
MOV-IN-146496,P001,AHM001,IN,2019-02-25,46,PO,PO-749076,1394
MOV-IN-79607,P001,AHM001,IN,2019-02-27,217,PO,PO-231732,1611
MOV-IN-4741,P001,AHM001,IN,2019-02-28,274,PO,PO-655731,1885
MOV-OUT-208526,P001,AHM001,OUT,2019-03-02,17,SO,SO-913796,1868
MOV-OUT-208525,P001,AHM001,OUT,2019-03-02,3,SO,SO-913796,1865
MOV-OUT-190662,P001,AHM001,OUT,2019-03-03,2,SO,SO-418773,1863
MOV-IN-144480,P001,AHM001,IN,2019-03-04,236,PO,PO-511473,2099
MOV-OUT-168469,P001,AHM001,OUT,2019-03-04,17,SO,SO-619524,2082
MOV-IN-57124,P001,AHM001,IN,2019-03-09,266,PO,PO-873815,2348
MOV-OUT-194214,P001,AHM001,OUT,2019-03-10,2,SO,SO-221300,2346
MOV-OUT-194222,P001,AHM001,OUT,2019-03-10,6,SO,SO-221300,2340
MOV-OUT-199049,P001,AHM001,OUT,2019-03-12,14,SO,SO-628171,2326
MOV-OUT-199044,P001,AHM001,OUT,2019-03-12,19,SO,SO-628171,2307
MOV-OUT-189181,P001,AHM001,OUT,2019-03-16,6,SO,SO-864565,2301
MOV-IN-20221,P001,AHM001,IN,2019-03-16,290,PO,PO-218330,2591
MOV-IN-5044,P001,AHM001,IN,2019-03-23,287,PO,PO-907368,2878
MOV-IN-43268,P001,AHM001,IN,2019-03-23,257,PO,PO-624607,3135
MOV-IN-130751,P001,AHM001,IN,2019-03-23,275,PO,PO-532065,3410
